"","County","totpop","medage","totpoprace","totpopwhite","totpopeduc","bachdegree","medincome","perc.white","perc.bachdegree","year","coal.prod.by.year","year.peak.prod","sum.coal.prod"
"1","Adams",95850,38.6,95850,89435,65550,7172,25821,93.3072509128847,7.48252477829943,2005,NA,NA,NA
"2","Allegheny",1195503,41.4,1195503,995431,838165,167355,24309,83.2646174873672,13.9987101663484,2005,48036,1998.74220226086,3432854
"3","Armstrong",69501,42,0,0,49425,4598,19167,0,6.61573214773888,2005,1232487,2001.3255563187,31591514
"4","Beaver",173086,42.8,173086,159484,122379,15326,22034,92.141478802445,8.85455784985499,2005,47983,2001.621837518,1584594
"5","Berks",382917,38.4,382917,344187,256266,38063,25416,89.8855365523077,9.94027426309096,2005,80564,2008.06666666667,1208460
"6","Blair",122717,40.7,122717,119317,85603,9532,19844,97.2293977199573,7.76746498040206,2005,NA,NA,NA
"7","Bucks",612210,40,612210,557958,419393,90751,32167,91.1383348850884,14.8235082733049,2005,NA,NA,NA
"8","Butler",175561,39.4,175561,171141,119662,24124,25092,97.4823565598282,13.7410928395259,2005,164572,1997.42729691212,6959278
"9","Cambria",138963,43.9,138963,134100,99653,11023,19647,96.5005073292891,7.93232731014731,2005,544529,2003.98430337814,17956284
"10","Centre",124263,29.8,124263,114125,74156,15662,18304,91.8414974690777,12.603912669097,2005,47798,1994.8696511248,2543689
"11","Chester",458141,38.8,458141,405680,305340,84440,36232,88.5491584468537,18.4310070480485,2005,NA,NA,NA
"12","Clearfield",79001,41.4,0,0,55955,5241,19005,0,6.63409323932608,2005,2087625,2003.53912402734,59160819
"13","Crawford",85445,40.1,85445,83217,58058,5879,19212,97.3924746913219,6.88044941190239,2005,NA,NA,NA
"14","Cumberland",208751,40.4,208751,196098,144603,31621,29374,93.9387116708423,15.1477118672485,2005,NA,NA,NA
"15","Dauphin",247379,39.3,247379,188541,169232,27700,27493,76.2154427012802,11.1973934731727,2005,40282,2006.48859888947,2611193
"16","Delaware",531609,39.8,531609,405050,355992,71197,29298,76.1932171953447,13.3927378957091,2005,NA,NA,NA
"17","Erie",266662,38.5,266662,242089,175803,28528,21599,90.7849637368654,10.6981872182763,2005,NA,NA,NA
"18","Fayette",141661,40.8,141661,134165,99769,7530,18200,94.7084942221218,5.31550673791658,2005,579409,1999.99593369558,15980112
"19","Franklin",134409,38.7,134409,127131,92629,8906,25180,94.5851840278553,6.62604438690862,2005,NA,NA,NA
"20","Indiana",83256,37.9,83256,80709,54824,6424,18114,96.9407610262324,7.71596041126165,2005,1266543,2004.09677169248,40137626
"21","Lackawanna",201201,41.1,201201,193150,141317,21471,20973,95.9985288343497,10.6714181341047,2005,15235,2001.89810822662,1993262
"22","Lancaster",476155,37.1,476155,435861,312839,48541,26426,91.5376295534017,10.1943694805263,2005,NA,NA,NA
"23","Lawrence",89742,41.9,0,0,62839,7583,21010,0,8.44977825321477,2005,71104,1994.35516458351,2696868
"24","Lebanon",121054,39.9,121054,113485,84277,11206,26200,93.747418507443,9.25702579014324,2005,NA,NA,NA
"25","Lehigh",319993,39.1,319993,269254,219133,37296,26018,84.1437156437797,11.6552549587022,2005,NA,NA,NA
"26","Luzerne",299279,42.3,299279,285762,214150,28604,20535,95.4834786269668,9.55763685390555,2005,532517,2006.54014366724,17569907
"27","Lycoming",112735,40.5,112735,106194,77201,7948,21202,94.1978977247527,7.0501618840644,2005,47704,2005.74094306558,1731905
"28","Mercer",112981,42,0,0,78724,10206,21931,0,9.03337729352723,2005,47421,2000.35184198511,1522135
"29","Monroe",159175,37.6,159175,130538,105166,11478,24507,82.0091094707083,7.21093136485001,2005,NA,NA,NA
"30","Montgomery",753046,39.9,753046,638977,517403,126820,35162,84.8523197786058,16.8409366758472,2005,80564,2010.24444444444,1812690
"31","Northampton",276878,39.7,276878,245214,190866,31336,27871,88.5639162374764,11.3176200348168,2005,NA,NA,NA
"32","Northumberland",88726,42.5,88726,86699,63547,5640,20698,97.7154385411266,6.35664855848342,2005,742853,2004.80819566612,18758158
"33","Philadelphia",1406415,35.3,1406415,592159,905287,110110,20852,42.1041442248554,7.82912582701407,2005,NA,NA,NA
"34","Schuylkill",139811,42.6,139811,136527,100763,8639,21101,97.6511147191566,6.17905601132958,2005,2771731,2004.25995002268,80374465
"35","Somerset",74617,42.5,0,0,53113,4961,20309,0,6.64861894742485,2005,1206587,2004.01647133705,44044269
"36","Washington",200938,41.8,200938,191259,142087,22279,23463,95.1830913017946,11.0874996267505,2005,360301,2000.24139447007,10426900
"37","Westmoreland",358687,43.2,358687,344585,257831,36645,22740,96.0684384993044,10.2164282508148,2005,328568,2000.44483438831,12280685
"38","York",400670,39.5,400670,369116,274651,33720,25738,92.1246911423366,8.41590336186887,2005,NA,NA,NA
"39","Adams",101105,37.6,101105,93264,67776,7652,26072,92.2446961080065,7.56836951683893,2006,NA,NA,NA
"40","Allegheny",1223411,41.7,1223411,1012469,846948,164009,24140,82.7578794043866,13.4058791362837,2006,99369,1998.74220226086,3432854
"41","Armstrong",70096,43.1,0,0,50481,4886,21469,0,6.9704405386898,2006,1329826,2001.3255563187,31591514
"42","Beaver",175736,43.3,175736,161360,124361,15752,22549,91.8195475030728,8.96344516775163,2006,48971,2001.621837518,1584594
"43","Berks",401149,38.1,401149,340569,267392,38096,25306,84.8983794051587,9.49672066987578,2006,80564,2008.06666666667,1208460
"44","Blair",126494,40.4,126494,122538,88189,11029,20250,96.8725789365503,8.71899062406122,2006,NA,NA,NA
"45","Bucks",623205,40.2,623205,568408,424273,91633,32451,91.2072271563932,14.7035084763441,2006,NA,NA,NA
"46","Butler",182901,40.2,182901,178113,123458,23823,24600,97.3821903652796,13.0250791411747,2006,180860,1997.42729691212,6959278
"47","Cambria",146967,42.5,146967,139861,103773,10315,18859,95.164900964162,7.01858240285234,2006,581361,2003.98430337814,17956284
"48","Centre",140953,29.3,140953,126712,78781,15516,16513,89.8966322107369,11.0079246273581,2006,48840,1994.8696511248,2543689
"49","Chester",482112,38.2,482112,423030,317806,90401,34664,87.7451712465153,18.7510371034117,2006,NA,NA,NA
"50","Clearfield",82442,41.3,0,0,59220,4096,18356,0,4.968341379394,2006,2092030,2003.53912402734,59160819
"51","Columbia",65014,38.3,65014,63052,43078,4670,18338,96.9821884517181,7.18306826222044,2006,176929,2001.39014480495,5428751
"52","Crawford",89389,39.3,89389,86123,60418,5904,18268,96.3463065925338,6.60483952164136,2006,NA,NA,NA
"53","Cumberland",226117,40,226117,210628,154448,29265,27272,93.1500064126094,12.9424147675761,2006,NA,NA,NA
"54","Dauphin",254176,39.9,254176,191946,176044,28441,26984,75.5169646229384,11.1894907465693,2006,138411,2006.48859888947,2611193
"55","Delaware",555996,38.8,555996,418865,362858,71471,28719,75.3359736400981,12.8545888819344,2006,NA,NA,NA
"56","Erie",279811,38.3,279811,251757,183586,25769,20639,89.9739466997366,9.20943065140398,2006,NA,NA,NA
"57","Fayette",145760,41.4,0,0,104248,10046,16730,0,6.89215148188804,2006,533671,1999.99593369558,15980112
"58","Franklin",139991,39.6,139991,132582,97660,9998,26041,94.7075169118015,7.14188769278025,2006,NA,NA,NA
"59","Indiana",88234,37.7,88234,84940,55915,5970,17252,96.2667452455969,6.76609923612213,2006,1405197,2004.09677169248,40137626
"60","Lackawanna",209728,41.6,209728,200126,145278,20138,20766,95.4216890448581,9.60196063472688,2006,98223,2001.89810822662,1993262
"61","Lancaster",494486,37.5,494486,450731,325513,49725,26413,91.1514178358943,10.0558964257835,2006,NA,NA,NA
"62","Lawrence",91795,42.9,0,0,63837,7411,20591,0,8.07342447845743,2006,97917,1994.35516458351,2696868
"63","Lebanon",126883,39.9,126883,116114,88206,10514,25290,91.5126533893429,8.28637406114294,2006,NA,NA,NA
"64","Lehigh",335544,38.9,335544,273984,227821,34693,25132,81.6536728417138,10.3393295663162,2006,NA,NA,NA
"65","Luzerne",313020,42.3,313020,296635,221953,27885,21178,94.7655101910421,8.90837646156795,2006,642503,2006.54014366724,17569907
"66","Lycoming",117668,40.9,117668,109893,80098,10808,19604,93.3924261481456,9.18516504062277,2006,48871,2005.74094306558,1731905
"67","Mercer",118551,41,118551,109862,81507,10165,20022,92.6706649458883,8.5743688370406,2006,49614,2000.35184198511,1522135
"68","Monroe",165685,37.5,165685,134688,107596,18916,23242,81.2916075685789,11.416845218336,2006,NA,NA,NA
"69","Montgomery",775688,40.1,775688,656682,529661,136016,35023,84.6580068274873,17.5348851600128,2006,80564,2010.24444444444,1812690
"70","Northampton",291306,39.4,291306,255291,197839,31036,26673,87.6367119111862,10.6540888275559,2006,NA,NA,NA
"71","Northumberland",91654,42.5,91654,88358,66143,5535,20329,96.4038667161281,6.03901630043424,2006,791504,2004.80819566612,18758158
"72","Philadelphia",1448394,35.4,1448394,605796,922548,110680,20117,41.8253596742323,7.64156714264213,2006,NA,NA,NA
"73","Schuylkill",147405,42,147405,140684,107206,7969,20099,95.4404531732302,5.40619381974831,2006,2803810,2004.25995002268,80374465
"74","Somerset",78508,42.2,0,0,56918,4475,17287,0,5.7000560452438,2006,1137982,2004.01647133705,44044269
"75","Washington",206432,42.4,206432,195685,145764,22635,23730,94.7939272980933,10.9648697876298,2006,214210,2000.24139447007,10426900
"76","Westmoreland",366440,43.3,366440,351771,262642,41790,22698,95.9968889859186,11.4043226721974,2006,224480,2000.44483438831,12280685
"77","York",416322,39.4,416322,381658,286071,39851,27073,91.6737525280912,9.57215808917136,2006,NA,NA,NA
"78","Adams",100779,38.5,100779,94455,67707,9025,26019,93.7248831601822,8.95523869060022,2007,NA,NA,NA
"79","Allegheny",1219210,41.8,1219210,1007644,846362,165852,25327,82.6472879979659,13.6032348816037,2007,107511,1998.74220226086,3432854
"80","Armstrong",69059,43.4,0,0,50143,5456,20608,0,7.90049088460592,2007,1113385,2001.3255563187,31591514
"81","Beaver",173074,43.8,173074,159176,122952,16573,22965,91.9699088251268,9.57567283358563,2007,50175,2001.621837518,1584594
"82","Berks",401955,38.2,401955,340568,267685,38508,26385,84.7278924257691,9.58017688547225,2007,NA,NA,NA
"83","Blair",125527,41.5,125527,121467,88196,10107,22239,96.7656360782939,8.05165422578409,2007,NA,NA,NA
"84","Bucks",621144,40.5,621144,565748,423692,86139,32055,91.0816171451387,13.8677987712994,2007,NA,NA,NA
"85","Butler",181934,40,181934,176629,123331,23589,25659,97.0841074235712,12.9656908549254,2007,163251,1997.42729691212,6959278
"86","Cambria",144995,42.6,144995,137490,102189,11031,19512,94.8239594468775,7.6078485465016,2007,669220,2003.98430337814,17956284
"87","Centre",144658,28.9,144658,129771,80608,16558,17363,89.7088304829322,11.446307843327,2007,45396,1994.8696511248,2543689
"88","Chester",486345,38.3,486345,423545,321210,93216,38617,87.0873556837224,19.1666409647472,2007,NA,NA,NA
"89","Clearfield",81452,42.3,0,0,58386,5346,0,0,6.56337474831803,2007,1830922,2003.53912402734,59160819
"90","Columbia",64726,38.2,64726,62775,42809,4490,19550,96.9857553378859,6.93693415319964,2007,88594,2001.39014480495,5428751
"91","Crawford",88663,40.2,88663,85621,60188,6711,20049,96.5690310501562,7.56911000078951,2007,NA,NA,NA
"92","Cumberland",228019,39.6,228019,210808,155518,31594,29019,92.4519447940742,13.8558628886189,2007,NA,NA,NA
"93","Dauphin",255710,39.1,255710,193468,175137,29449,28236,75.6591451253373,11.5165617300849,2007,54889,2006.48859888947,2611193
"94","Delaware",554399,38.9,554399,418850,361232,70268,29702,75.5502805740992,12.6746260364827,2007,NA,NA,NA
"95","Erie",279092,38.1,279092,252275,182312,26497,21763,90.3913404898743,9.49400197784243,2007,NA,NA,NA
"96","Fayette",144556,42.4,144556,136225,103425,9101,17955,94.2368355516201,6.29582998976175,2007,570851,1999.99593369558,15980112
"97","Franklin",141665,39.2,141665,133741,98050,8956,24431,94.4065224296756,6.32195672890269,2007,NA,NA,NA
"98","Indiana",87690,38.9,87690,84164,56031,7329,18503,95.9790169916752,8.35785152240848,2007,1233284,2004.09677169248,40137626
"99","Lackawanna",209330,41.1,209330,198160,144787,20336,22097,94.6639277695505,9.71480437586586,2007,49845,2001.89810822662,1993262
"100","Lancaster",498465,37.4,498465,453647,328403,52301,27339,91.0087970068109,10.4924117039311,2007,NA,NA,NA
"101","Lawrence",90991,41.7,0,0,63252,8516,20244,0,9.35916739018145,2007,68206,1994.35516458351,2696868
"102","Lebanon",127889,39.6,127889,116911,88777,11079,26048,91.4159935569126,8.66298117899116,2007,NA,NA,NA
"103","Lehigh",337343,39.2,337343,275458,228764,36481,26137,81.6551699605446,10.8142157981639,2007,NA,NA,NA
"104","Luzerne",312265,41.9,312265,295071,220548,28721,22133,94.4937793220502,9.1976366227403,2007,751877,2006.54014366724,17569907
"105","Lycoming",116811,40.9,116811,108563,80128,10067,20740,92.9390211538297,8.61819520421878,2007,50032,2005.74094306558,1731905
"106","Mercer",116809,41.8,116809,107897,81116,9175,21085,92.3704509070363,7.8547029766542,2007,50612,2000.35184198511,1522135
"107","Monroe",164722,38.7,164722,133373,106665,15153,26975,80.968540935637,9.19913551316764,2007,NA,NA,NA
"108","Montgomery",776172,40.7,776172,651620,531856,129936,35558,83.9530413361987,16.7406193472581,2007,80564,2010.24444444444,1812690
"109","Northampton",293522,39.1,293522,256674,197381,30868,26957,87.4462561579711,10.5164178494287,2007,NA,NA,NA
"110","Northumberland",91003,42.6,91003,86977,65961,6798,19940,95.5759700229663,7.47008340384383,2007,400058,2004.80819566612,18758158
"111","Philadelphia",1449634,35.6,1449634,621131,927446,115031,20875,42.847435973494,7.93517536150504,2007,NA,NA,NA
"112","Schuylkill",147269,41.9,147269,140909,107362,10438,21801,95.6813721828762,7.08771024451853,2007,2932253,2004.25995002268,80374465
"113","Somerset",77861,43,0,0,56388,5310,18904,0,6.81984562232697,2007,1193096,2004.01647133705,44044269
"114","Washington",205553,42.2,205553,194264,145222,21541,23905,94.5079857749583,10.4795356915248,2007,190988,2000.24139447007,10426900
"115","Westmoreland",362326,43.5,362326,347460,261283,40549,23832,95.8970650739941,11.1913028598555,2007,219604,2000.44483438831,12280685
"116","York",421049,39.2,421049,382005,289310,44722,28681,90.7269700201164,10.621566611012,2007,NA,NA,NA
"117","Adams",101119,38.7,101119,93397,69165,8097,26869,92.3634529613624,8.00739722505167,2008,NA,NA,NA
"118","Allegheny",1215103,42,1215103,1003496,843648,174460,26606,82.585262319326,14.357630587695,2008,128281,1998.74220226086,3432854
"119","Armstrong",68790,44.2,0,0,50237,4532,22225,0,6.58816688472162,2008,1039495,2001.3255563187,31591514
"120","Beaver",172476,43.9,172476,158598,123542,15570,23903,91.9536631183469,9.02734293466917,2008,51420,2001.621837518,1584594
"121","Berks",403595,38.8,403595,349235,269524,41216,27326,86.5310521686344,10.2122176934799,2008,80564,2008.06666666667,1208460
"122","Blair",125174,41,125174,121330,88153,11196,21504,96.9290747279787,8.94434946554396,2008,NA,NA,NA
"123","Bucks",621643,41.6,621643,566186,427483,89128,35702,91.0789633278264,14.3374895237299,2008,NA,NA,NA
"124","Butler",182902,39.8,182902,177230,124025,25460,27026,96.8988857420914,13.9200227444205,2008,272221,1997.42729691212,6959278
"125","Cambria",144319,43.2,144319,136414,102052,10123,20871,94.522550738295,7.01432243848696,2008,538253,2003.98430337814,17956284
"126","Centre",144779,28.9,144779,130451,79699,16141,19766,90.1035371151894,11.1487163193557,2008,28111,1994.8696511248,2543689
"127","Chester",491489,38.7,491489,433537,326403,98920,40115,88.2088917554615,20.1265948983599,2008,NA,NA,NA
"128","Clearfield",82896,41.9,0,0,0,0,19291,0,0,2008,2274426,2003.53912402734,59160819
"129","Columbia",65004,38.9,0,0,43794,4927,21221,0,7.5795335671651,2008,152980,2001.39014480495,5428751
"130","Crawford",88411,39.8,0,0,60791,7451,20962,0,8.42768433792175,2008,NA,NA,NA
"131","Cumberland",229361,40.1,229361,212717,157860,32922,29394,92.7433173032905,14.353791621069,2008,NA,NA,NA
"132","Dauphin",256562,39.7,256562,195973,176446,28639,30188,76.3842657915046,11.16260397097,2008,153090,2006.48859888947,2611193
"133","Delaware",553619,39.2,553619,413971,361632,76029,31751,74.7754322015682,13.7330908079383,2008,NA,NA,NA
"134","Erie",279175,38.6,279175,250875,183157,26912,21919,89.8629891645026,9.63983164681651,2008,NA,NA,NA
"135","Fayette",143925,41.4,0,0,103345,8421,18705,0,5.8509640437728,2008,544465,1999.99593369558,15980112
"136","Franklin",143495,39.8,143495,135405,100171,11845,28684,94.3621728980104,8.25464301892052,2008,NA,NA,NA
"137","Indiana",87479,37.5,87479,84208,55555,7969,20445,96.2608168817659,9.10961487899953,2008,1472996,2004.09677169248,40137626
"138","Lackawanna",209408,41.7,209408,199073,144746,20904,22945,95.0646584657702,9.98242665036675,2008,102598,2001.89810822662,1993262
"139","Lancaster",502370,37.8,502370,456850,332572,51430,28402,90.9389493799391,10.2374743714792,2008,NA,NA,NA
"140","Lawrence",90272,42.2,0,0,62714,7686,20781,0,8.51426799007444,2008,80564,1994.35516458351,2696868
"141","Lebanon",128934,39.8,128934,117565,89871,11154,27712,91.1823103293158,8.65093768905021,2008,NA,NA,NA
"142","Lehigh",339989,40,339989,281416,230850,36876,27997,82.7720896852545,10.8462332604878,2008,NA,NA,NA
"143","Luzerne",311983,42.2,311983,292687,221086,29415,22221,93.8150476147739,9.42839834221737,2008,696686,2006.54014366724,17569907
"144","Lycoming",116670,40.5,116670,109138,79457,9160,21486,93.5441844518728,7.85120425130711,2008,51211,2005.74094306558,1731905
"145","Mercer",116652,41.8,116652,107803,80646,10648,21356,92.4141892123581,9.1280046634434,2008,NA,NA,NA
"146","Monroe",165058,38.8,165058,129646,109711,15366,25627,78.5457233214991,9.30945485829224,2008,NA,NA,NA
"147","Montgomery",778048,40.7,778048,650039,533727,136347,38317,83.5474160977215,17.524240149708,2008,80564,2010.24444444444,1812690
"148","Northampton",294787,39.6,294787,260695,198993,37685,29106,88.4350395370216,12.7838066129103,2008,NA,NA,NA
"149","Northumberland",91091,42.4,0,0,66180,5955,21938,0,6.53741862533071,2008,515802,2004.80819566612,18758158
"150","Philadelphia",1447395,35.7,1447395,614069,923393,110197,21650,42.425806362465,7.6134710980762,2008,NA,NA,NA
"151","Schuylkill",147254,41.8,147254,140048,107597,9231,23441,95.1064147663221,6.26876010159317,2008,2750191,2004.25995002268,80374465
"152","Somerset",77454,43.5,0,0,56888,5895,20954,0,7.61096909133163,2008,1350139,2004.01647133705,44044269
"153","Washington",206407,42.4,206407,195451,146047,26237,24890,94.6920404831232,12.7112937061243,2008,204623,2000.24139447007,10426900
"154","Westmoreland",361589,44.3,361589,346046,261949,41597,24481,95.7014732195946,11.5039450868251,2008,184701,2000.44483438831,12280685
"155","York",424583,39.5,424583,385776,294358,40462,29213,90.8599731972312,9.52982102439335,2008,NA,NA,NA
"156","Adams",102323,40.8,102323,94802,68998,6430,27795,92.6497463913294,6.28402216510462,2009,NA,NA,NA
"157","Allegheny",1218494,41.1,1218494,1006793,861127,173322,26029,82.6260121100309,14.2242801359711,2009,119974,1998.74220226086,3432854
"158","Armstrong",67851,44.6,0,0,48858,5096,22798,0,7.51057464149386,2009,863628,2001.3255563187,31591514
"159","Beaver",171673,43.8,171673,157984,122049,15536,23879,92.0261194247202,9.04976321261934,2009,52311,2001.621837518,1584594
"160","Berks",407125,39.1,407125,343479,270503,39664,26857,84.3669634633098,9.74246238870126,2009,NA,NA,NA
"161","Blair",126122,42.1,126122,121932,89078,11181,22506,96.6778198886792,8.86522573381329,2009,NA,NA,NA
"162","Bucks",626015,41.6,626015,568762,429988,88455,33572,90.8543724990615,14.1298531185355,2009,NA,NA,NA
"163","Butler",184694,41.3,184694,179422,127480,23876,27707,97.1455488537798,12.9273284459701,2009,229354,1997.42729691212,6959278
"164","Cambria",143998,43.6,143998,136406,101478,12201,20531,94.7277045514521,8.47303434769927,2009,552742,2003.98430337814,17956284
"165","Centre",146212,27.4,146212,132422,77799,16909,20019,90.5684895904577,11.5647142505403,2009,52408,1994.8696511248,2543689
"166","Chester",498894,39.4,498894,438127,329571,95527,36390,87.8196570814642,19.1477548336921,2009,NA,NA,NA
"167","Clearfield",82324,42.4,0,0,59528,4993,20047,0,6.06506000680239,2009,1950149,2003.53912402734,59160819
"168","Columbia",65111,39.7,0,0,41757,5605,20912,0,8.60837646480625,2009,210101,2001.39014480495,5428751
"169","Crawford",88521,41.5,88521,84852,60164,5949,20136,95.8552207950656,6.72043921781272,2009,NA,NA,NA
"170","Cumberland",232483,39.7,232483,214897,160292,32304,28912,92.4355759345845,13.8952095422031,2009,NA,NA,NA
"171","Dauphin",258934,39.2,258934,197653,177347,31420,28585,76.333351355944,12.1343662863896,2009,58286,2006.48859888947,2611193
"172","Delaware",558028,38.4,558028,418397,369518,71264,30234,74.9777788928154,12.7706853419542,2009,NA,NA,NA
"173","Erie",280291,38.5,280291,252371,186868,28680,21547,90.038923832731,10.2322229397305,2009,NA,NA,NA
"174","Fayette",142605,41.9,142605,134493,103015,9903,19560,94.3115599032292,6.94435678973388,2009,484946,1999.99593369558,15980112
"175","Franklin",144994,40.4,144994,136927,100327,11939,25265,94.4363215029587,8.23413382622729,2009,NA,NA,NA
"176","Indiana",87450,38.7,87450,84085,53907,5557,19116,96.1520869068039,6.35448827901658,2009,1557777,2004.09677169248,40137626
"177","Lackawanna",208801,41.6,208801,197602,145791,23869,22951,94.6365199400386,11.4314586615964,2009,71284,2001.89810822662,1993262
"178","Lancaster",507766,37.8,507766,464018,334186,51944,26535,91.3842202904488,10.2299090525951,2009,NA,NA,NA
"179","Lawrence",90160,44,90160,84774,63229,8137,21484,94.0261756876664,9.02506654835847,2009,NA,NA,NA
"180","Lebanon",130506,40.6,130506,117613,90092,11555,26174,90.1207607313074,8.85399904985211,2009,NA,NA,NA
"181","Lehigh",343519,39.2,343519,283357,231918,39747,25719,82.4865582398645,11.5705390385976,2009,NA,NA,NA
"182","Luzerne",312845,42.3,312845,290235,221697,27230,22719,92.7727788521472,8.70399079416324,2009,815613,2006.54014366724,17569907
"183","Lycoming",116840,40.6,116840,108446,80755,9798,21220,92.8158165011982,8.38582677165354,2009,52300,2005.74094306558,1731905
"184","Mercer",116071,41.9,116071,107316,78885,10172,20909,92.4572029189031,8.76360158868279,2009,NA,NA,NA
"185","Monroe",166355,39.2,166355,134933,110352,18433,25133,81.111478464729,11.0805205734724,2009,NA,NA,NA
"186","Montgomery",782339,40.3,782339,657726,538512,136772,36977,84.0717387219607,17.4824468676622,2009,80564,2010.24444444444,1812690
"187","Northampton",298990,40.2,298990,262631,204245,34079,27138,87.8393926218268,11.3980400682297,2009,NA,NA,NA
"188","Northumberland",91311,43.1,0,0,65090,5947,20514,0,6.51290644062599,2009,509006,2004.80819566612,18758158
"189","Philadelphia",1547297,34.2,1547297,682914,1017423,133379,21841,44.1359351178216,8.62012916718639,2009,NA,NA,NA
"190","Schuylkill",146952,43.1,146952,140130,106946,8876,20989,95.3576678098971,6.04006750503566,2009,2727000,2004.25995002268,80374465
"191","Somerset",76953,44.2,0,0,55688,4502,19853,0,5.85032422387691,2009,1413348,2004.01647133705,44044269
"192","Washington",207389,43,207389,196430,146626,22601,23864,94.7157274493826,10.8978779009494,2009,200963,2000.24139447007,10426900
"193","Westmoreland",362251,44.6,362251,346113,261469,38775,24215,95.5450778603786,10.7039041990222,2009,256774,2000.44483438831,12280685
"194","York",428937,39.8,428937,383519,294651,41605,28330,89.4114986583111,9.69955960898687,2009,NA,NA,NA
"195","Adams",101485,41.7,101485,95237,68980,7567,26811,93.8434251367197,7.45627432625511,2010,NA,NA,NA
"196","Allegheny",1223583,41.4,1223583,998633,858156,181768,26123,81.6154686686559,14.8553878241198,2010,171674,1998.74220226086,3432854
"197","Armstrong",68839,44.6,68839,67303,49902,5054,22164,97.7687066924273,7.34176847426604,2010,976451,2001.3255563187,31591514
"198","Beaver",170567,44.3,170567,155157,122627,16117,24270,90.9654270755773,9.44907279837249,2010,106485,2001.621837518,1584594
"199","Berks",411850,39.5,411850,347052,272584,41057,26006,84.2666019181741,9.96892072356441,2010,NA,NA,NA
"200","Blair",127031,41.8,127031,122234,88254,9575,22570,96.2237564059167,7.53753020916154,2010,NA,NA,NA
"201","Bucks",625472,42,625472,563100,435007,94314,32370,90.0280108462089,15.0788524506293,2010,NA,NA,NA
"202","Butler",184059,41.3,184059,177832,126279,23670,27415,96.6168456853509,12.860006845631,2010,253725,1997.42729691212,6959278
"203","Cambria",143498,43.7,143498,135124,101813,13067,22016,94.1643785976111,9.10605025854019,2010,617264,2003.98430337814,17956284
"204","Carbon",65220,43.3,0,0,46486,5027,22101,0,7.70775835633241,2010,40282,2014.70892443327,917851
"205","Centre",154127,29.3,154127,137638,86787,17943,19925,89.3016797835551,11.6416980801547,2010,53982,1994.8696511248,2543689
"206","Chester",499797,39.3,499797,436212,331589,101537,38255,87.2778348009292,20.3156481531502,2010,NA,NA,NA
"207","Clearfield",81562,41.5,81562,77700,58045,5599,20239,95.2649518157966,6.86471641205463,2010,2271535,2003.53912402734,59160819
"208","Columbia",67268,40.3,67268,64586,44094,5499,24056,96.0129630730808,8.17476363203901,2010,109386,2001.39014480495,5428751
"209","Crawford",88657,41.8,88657,85309,60475,7328,20346,96.2236484428754,8.26556278692038,2010,NA,NA,NA
"210","Cumberland",235861,40.2,235861,212930,159908,32662,30254,90.2777483348243,13.8479867379516,2010,NA,NA,NA
"211","Dauphin",268220,39.1,268220,199813,183201,29507,29017,74.4959361717993,11.0010439191708,2010,60844,2006.48859888947,2611193
"212","Delaware",559276,38.9,559276,408816,369773,75299,30241,73.0973615889114,13.4636565845844,2010,NA,NA,NA
"213","Erie",280686,38.6,280686,249120,183154,25878,21835,88.7539813172014,9.21955494752143,2010,NA,NA,NA
"214","Fayette",136446,43.3,136446,127173,97912,10282,19078,93.2039048414757,7.53558184190083,2010,486378,1999.99593369558,15980112
"215","Franklin",149834,40.2,149834,140087,101571,13139,26335,93.4948009130104,8.7690377350935,2010,NA,NA,NA
"216","Indiana",88847,39.2,88847,84309,56826,7640,20255,94.8923430166466,8.59905230339798,2010,1291397,2004.09677169248,40137626
"217","Lackawanna",214367,42.8,214367,200252,149949,21919,21897,93.4154977211978,10.2249879878899,2010,53121,2001.89810822662,1993262
"218","Lancaster",520156,38.1,520156,468862,339596,52772,26101,90.1387276124855,10.1454179130876,2010,NA,NA,NA
"219","Lawrence",90968,43.8,90968,85091,64049,8290,20759,93.5394864128045,9.11309471462492,2010,NA,NA,NA
"220","Lebanon",133688,41,133688,120099,92320,12180,26293,89.8352881335647,9.11076536413141,2010,NA,NA,NA
"221","Lehigh",350106,39.3,350106,288037,236821,38855,25233,82.271369242458,11.0980674424317,2010,NA,NA,NA
"222","Luzerne",320795,42.6,320795,297026,226697,29846,22272,92.5905952399507,9.30376096884303,2010,705825,2006.54014366724,17569907
"223","Lycoming",116143,41.4,116143,107753,79107,9877,21271,92.7761466468061,8.50417158158477,2010,53371,2005.74094306558,1731905
"224","Mercer",116558,43.1,116558,107036,79996,10610,20943,91.8306765730366,9.10276428902349,2010,6206,2000.35184198511,1522135
"225","Monroe",169896,40,169896,135199,111277,19063,23109,79.577506239111,11.2203936525875,2010,NA,NA,NA
"226","Montgomery",801052,40.6,801052,658853,555690,147094,36633,82.2484682642325,18.3626031768225,2010,80564,2010.24444444444,1812690
"227","Northampton",298101,41,298101,259437,203806,33855,27794,87.0298992623306,11.356889108054,2010,NA,NA,NA
"228","Northumberland",94366,43.7,94366,90456,67517,6506,20812,95.8565585062417,6.89443231672424,2010,420644,2004.80819566612,18758158
"229","Philadelphia",1528306,33.5,1528306,634294,981413,125477,20743,41.5030759546845,8.21020136019881,2010,NA,NA,NA
