"","X","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"83",6,"Blair",125527,41.5,121467,10107,22239,96.7656360782939,8.05165422578409,2007
"84",7,"Bucks",621144,40.5,565748,86139,32055,91.0816171451387,13.8677987712994,2007
"85",8,"Butler",181934,40,176629,23589,25659,97.0841074235712,12.9656908549254,2007
"86",9,"Cambria",144995,42.6,137490,11031,19512,94.8239594468775,7.6078485465016,2007
"87",10,"Centre",144658,28.9,129771,16558,17363,89.7088304829322,11.446307843327,2007
"88",11,"Chester",486345,38.3,423545,93216,38617,87.0873556837224,19.1666409647472,2007
"89",12,"Clearfield",81452,42.3,0,5346,0,0,6.56337474831803,2007
"90",13,"Columbia",64726,38.2,62775,4490,19550,96.9857553378859,6.93693415319964,2007
"91",14,"Crawford",88663,40.2,85621,6711,20049,96.5690310501562,7.56911000078951,2007
"92",15,"Cumberland",228019,39.6,210808,31594,29019,92.4519447940742,13.8558628886189,2007
"93",16,"Dauphin",255710,39.1,193468,29449,28236,75.6591451253373,11.5165617300849,2007
"94",17,"Delaware",554399,38.9,418850,70268,29702,75.5502805740992,12.6746260364827,2007
"95",18,"Erie",279092,38.1,252275,26497,21763,90.3913404898743,9.49400197784243,2007
"96",19,"Fayette",144556,42.4,136225,9101,17955,94.2368355516201,6.29582998976175,2007
"97",20,"Franklin",141665,39.2,133741,8956,24431,94.4065224296756,6.32195672890269,2007
"98",21,"Indiana",87690,38.9,84164,7329,18503,95.9790169916752,8.35785152240848,2007
"99",22,"Lackawanna",209330,41.1,198160,20336,22097,94.6639277695505,9.71480437586586,2007
"100",23,"Lancaster",498465,37.4,453647,52301,27339,91.0087970068109,10.4924117039311,2007
"101",24,"Lawrence",90991,41.7,0,8516,20244,0,9.35916739018145,2007
"102",25,"Lebanon",127889,39.6,116911,11079,26048,91.4159935569126,8.66298117899116,2007
"103",26,"Lehigh",337343,39.2,275458,36481,26137,81.6551699605446,10.8142157981639,2007
"104",27,"Luzerne",312265,41.9,295071,28721,22133,94.4937793220502,9.1976366227403,2007
"105",28,"Lycoming",116811,40.9,108563,10067,20740,92.9390211538297,8.61819520421878,2007
"106",29,"Mercer",116809,41.8,107897,9175,21085,92.3704509070363,7.8547029766542,2007
"107",30,"Monroe",164722,38.7,133373,15153,26975,80.968540935637,9.19913551316764,2007
"108",31,"Montgomery",776172,40.7,651620,129936,35558,83.9530413361987,16.7406193472581,2007
"109",32,"Northampton",293522,39.1,256674,30868,26957,87.4462561579711,10.5164178494287,2007
"110",33,"Northumberland",91003,42.6,86977,6798,19940,95.5759700229663,7.47008340384383,2007
"111",34,"Philadelphia",1449634,35.6,621131,115031,20875,42.847435973494,7.93517536150504,2007
"112",35,"Schuylkill",147269,41.9,140909,10438,21801,95.6813721828762,7.08771024451853,2007
"113",36,"Somerset",77861,43,0,5310,18904,0,6.81984562232697,2007
"114",37,"Washington",205553,42.2,194264,21541,23905,94.5079857749583,10.4795356915248,2007
"115",38,"Westmoreland",362326,43.5,347460,40549,23832,95.8970650739941,11.1913028598555,2007
"116",39,"York",421049,39.2,382005,44722,28681,90.7269700201164,10.621566611012,2007
"117",1,"Adams",101119,38.7,93397,8097,26869,92.3634529613624,8.00739722505167,2008
"118",2,"Allegheny",1215103,42,1003496,174460,26606,82.585262319326,14.357630587695,2008
"119",3,"Armstrong",68790,44.2,0,4532,22225,0,6.58816688472162,2008
"120",4,"Beaver",172476,43.9,158598,15570,23903,91.9536631183469,9.02734293466917,2008
"121",5,"Berks",403595,38.8,349235,41216,27326,86.5310521686344,10.2122176934799,2008
"122",6,"Blair",125174,41,121330,11196,21504,96.9290747279787,8.94434946554396,2008
"123",7,"Bucks",621643,41.6,566186,89128,35702,91.0789633278264,14.3374895237299,2008
"124",8,"Butler",182902,39.8,177230,25460,27026,96.8988857420914,13.9200227444205,2008
"125",9,"Cambria",144319,43.2,136414,10123,20871,94.522550738295,7.01432243848696,2008
"126",10,"Centre",144779,28.9,130451,16141,19766,90.1035371151894,11.1487163193557,2008
"127",11,"Chester",491489,38.7,433537,98920,40115,88.2088917554615,20.1265948983599,2008
"128",12,"Clearfield",82896,41.9,0,0,19291,0,0,2008
"129",13,"Columbia",65004,38.9,0,4927,21221,0,7.5795335671651,2008
"130",14,"Crawford",88411,39.8,0,7451,20962,0,8.42768433792175,2008
"131",15,"Cumberland",229361,40.1,212717,32922,29394,92.7433173032905,14.353791621069,2008
"132",16,"Dauphin",256562,39.7,195973,28639,30188,76.3842657915046,11.16260397097,2008
"133",17,"Delaware",553619,39.2,413971,76029,31751,74.7754322015682,13.7330908079383,2008
"134",18,"Erie",279175,38.6,250875,26912,21919,89.8629891645026,9.63983164681651,2008
"135",19,"Fayette",143925,41.4,0,8421,18705,0,5.8509640437728,2008
"136",20,"Franklin",143495,39.8,135405,11845,28684,94.3621728980104,8.25464301892052,2008
"137",21,"Indiana",87479,37.5,84208,7969,20445,96.2608168817659,9.10961487899953,2008
"138",22,"Lackawanna",209408,41.7,199073,20904,22945,95.0646584657702,9.98242665036675,2008
"139",23,"Lancaster",502370,37.8,456850,51430,28402,90.9389493799391,10.2374743714792,2008
"140",24,"Lawrence",90272,42.2,0,7686,20781,0,8.51426799007444,2008
"141",25,"Lebanon",128934,39.8,117565,11154,27712,91.1823103293158,8.65093768905021,2008
"142",26,"Lehigh",339989,40,281416,36876,27997,82.7720896852545,10.8462332604878,2008
"143",27,"Luzerne",311983,42.2,292687,29415,22221,93.8150476147739,9.42839834221737,2008
"144",28,"Lycoming",116670,40.5,109138,9160,21486,93.5441844518728,7.85120425130711,2008
"145",29,"Mercer",116652,41.8,107803,10648,21356,92.4141892123581,9.1280046634434,2008
"146",30,"Monroe",165058,38.8,129646,15366,25627,78.5457233214991,9.30945485829224,2008
"147",31,"Montgomery",778048,40.7,650039,136347,38317,83.5474160977215,17.524240149708,2008
"148",32,"Northampton",294787,39.6,260695,37685,29106,88.4350395370216,12.7838066129103,2008
"149",33,"Northumberland",91091,42.4,0,5955,21938,0,6.53741862533071,2008
"150",34,"Philadelphia",1447395,35.7,614069,110197,21650,42.425806362465,7.6134710980762,2008
"151",35,"Schuylkill",147254,41.8,140048,9231,23441,95.1064147663221,6.26876010159317,2008
"152",36,"Somerset",77454,43.5,0,5895,20954,0,7.61096909133163,2008
"153",37,"Washington",206407,42.4,195451,26237,24890,94.6920404831232,12.7112937061243,2008
"154",38,"Westmoreland",361589,44.3,346046,41597,24481,95.7014732195946,11.5039450868251,2008
"155",39,"York",424583,39.5,385776,40462,29213,90.8599731972312,9.52982102439335,2008
"156",1,"Adams",102323,40.8,94802,6430,27795,92.6497463913294,6.28402216510462,2009
"157",2,"Allegheny",1218494,41.1,1006793,173322,26029,82.6260121100309,14.2242801359711,2009
"158",3,"Armstrong",67851,44.6,0,5096,22798,0,7.51057464149386,2009
"159",4,"Beaver",171673,43.8,157984,15536,23879,92.0261194247202,9.04976321261934,2009
"160",5,"Berks",407125,39.1,343479,39664,26857,84.3669634633098,9.74246238870126,2009
"161",6,"Blair",126122,42.1,121932,11181,22506,96.6778198886792,8.86522573381329,2009
"162",7,"Bucks",626015,41.6,568762,88455,33572,90.8543724990615,14.1298531185355,2009
"163",8,"Butler",184694,41.3,179422,23876,27707,97.1455488537798,12.9273284459701,2009
"164",9,"Cambria",143998,43.6,136406,12201,20531,94.7277045514521,8.47303434769927,2009
"165",10,"Centre",146212,27.4,132422,16909,20019,90.5684895904577,11.5647142505403,2009
"166",11,"Chester",498894,39.4,438127,95527,36390,87.8196570814642,19.1477548336921,2009
"167",12,"Clearfield",82324,42.4,0,4993,20047,0,6.06506000680239,2009
"168",13,"Columbia",65111,39.7,0,5605,20912,0,8.60837646480625,2009
"169",14,"Crawford",88521,41.5,84852,5949,20136,95.8552207950656,6.72043921781272,2009
"170",15,"Cumberland",232483,39.7,214897,32304,28912,92.4355759345845,13.8952095422031,2009
"171",16,"Dauphin",258934,39.2,197653,31420,28585,76.333351355944,12.1343662863896,2009
"172",17,"Delaware",558028,38.4,418397,71264,30234,74.9777788928154,12.7706853419542,2009
"173",18,"Erie",280291,38.5,252371,28680,21547,90.038923832731,10.2322229397305,2009
"174",19,"Fayette",142605,41.9,134493,9903,19560,94.3115599032292,6.94435678973388,2009
"175",20,"Franklin",144994,40.4,136927,11939,25265,94.4363215029587,8.23413382622729,2009
"176",21,"Indiana",87450,38.7,84085,5557,19116,96.1520869068039,6.35448827901658,2009
"177",22,"Lackawanna",208801,41.6,197602,23869,22951,94.6365199400386,11.4314586615964,2009
"178",23,"Lancaster",507766,37.8,464018,51944,26535,91.3842202904488,10.2299090525951,2009
"179",24,"Lawrence",90160,44,84774,8137,21484,94.0261756876664,9.02506654835847,2009
"180",25,"Lebanon",130506,40.6,117613,11555,26174,90.1207607313074,8.85399904985211,2009
"181",26,"Lehigh",343519,39.2,283357,39747,25719,82.4865582398645,11.5705390385976,2009
"182",27,"Luzerne",312845,42.3,290235,27230,22719,92.7727788521472,8.70399079416324,2009
"183",28,"Lycoming",116840,40.6,108446,9798,21220,92.8158165011982,8.38582677165354,2009
"184",29,"Mercer",116071,41.9,107316,10172,20909,92.4572029189031,8.76360158868279,2009
"185",30,"Monroe",166355,39.2,134933,18433,25133,81.111478464729,11.0805205734724,2009
"186",31,"Montgomery",782339,40.3,657726,136772,36977,84.0717387219607,17.4824468676622,2009
"187",32,"Northampton",298990,40.2,262631,34079,27138,87.8393926218268,11.3980400682297,2009
"188",33,"Northumberland",91311,43.1,0,5947,20514,0,6.51290644062599,2009
"189",34,"Philadelphia",1547297,34.2,682914,133379,21841,44.1359351178216,8.62012916718639,2009
"190",35,"Schuylkill",146952,43.1,140130,8876,20989,95.3576678098971,6.04006750503566,2009
"191",36,"Somerset",76953,44.2,0,4502,19853,0,5.85032422387691,2009
"192",37,"Washington",207389,43,196430,22601,23864,94.7157274493826,10.8978779009494,2009
"193",38,"Westmoreland",362251,44.6,346113,38775,24215,95.5450778603786,10.7039041990222,2009
"194",39,"York",428937,39.8,383519,41605,28330,89.4114986583111,9.69955960898687,2009
"195",1,"Adams",101485,41.7,95237,7567,26811,93.8434251367197,7.45627432625511,2010
"196",2,"Allegheny",1223583,41.4,998633,181768,26123,81.6154686686559,14.8553878241198,2010
"197",3,"Armstrong",68839,44.6,67303,5054,22164,97.7687066924273,7.34176847426604,2010
"198",4,"Beaver",170567,44.3,155157,16117,24270,90.9654270755773,9.44907279837249,2010
"199",5,"Berks",411850,39.5,347052,41057,26006,84.2666019181741,9.96892072356441,2010
"200",6,"Blair",127031,41.8,122234,9575,22570,96.2237564059167,7.53753020916154,2010
"201",7,"Bucks",625472,42,563100,94314,32370,90.0280108462089,15.0788524506293,2010
"202",8,"Butler",184059,41.3,177832,23670,27415,96.6168456853509,12.860006845631,2010
"203",9,"Cambria",143498,43.7,135124,13067,22016,94.1643785976111,9.10605025854019,2010
"204",10,"Carbon",65220,43.3,0,5027,22101,0,7.70775835633241,2010
"205",11,"Centre",154127,29.3,137638,17943,19925,89.3016797835551,11.6416980801547,2010
"206",12,"Chester",499797,39.3,436212,101537,38255,87.2778348009292,20.3156481531502,2010
"207",13,"Clearfield",81562,41.5,77700,5599,20239,95.2649518157966,6.86471641205463,2010
