"County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year"
"Montgomery",-1.17,6,-1.28,2,2013
"Montour",-0.3,22,-0.78,7,2013
"Northampton",-0.23,25,-0.39,11,2013
"Northumberland",0.18,43,0.4,61,2013
"Perry",0.37,50,0.04,30,2013
"Philadelphia",2.62,67,1.78,67,2013
"Pike",-0.8,11,-0.12,22,2013
"Potter",0.51,55,0.32,54,2013
"Schuylkill",0.44,53,0.44,62,2013
"Snyder",-1.22,5,-0.28,15,2013
"Somerset",0.03,35,0.33,55,2013
"Sullivan",1.36,64,0.35,57,2013
"Susquehanna",0.41,52,0.21,43,2013
"Tioga",-0.54,15,-0.07,25,2013
"Union",-1.44,2,-0.23,17,2013
"Venango",0.07,37,0.21,44,2013
"Warren",0.13,40,0.32,53,2013
"Washington",0.07,38,-0.18,19,2013
"Wayne",-0.07,30,-0.18,18,2013
"Westmoreland",-0.27,23,-0.41,10,2013
"Wyoming",0.51,54,0.17,42,2013
"York",-0.38,19,-0.28,16,2013
"Adams",-0.59,13,-0.4,11,2014
"Allegheny",0.13,40,-0.29,15,2014
"Armstrong",0.02,36,0.15,41,2014
"Beaver",0.2,43,0.03,34,2014
"Bedford",-0.45,17,0.15,40,2014
"Berks",-0.45,16,-0.08,21,2014
"Blair",0.33,51,0.04,36,2014
"Bradford",-0.2,26,-0.01,30,2014
"Bucks",-0.88,10,-1.01,5,2014
"Butler",-0.99,8,-0.79,6,2014
"Cambria",0.83,60,0.33,55,2014
"Cameron",-0.03,34,0.81,64,2014
"Carbon",0.29,49,0.43,62,2014
"Centre",-1.51,3,-1.08,3,2014
"Chester",-1.51,2,-1.23,1,2014
"Clarion",-0.24,24,0,31,2014
"Clearfield",-0.04,33,0.03,35,2014
"Clinton",-0.31,22,0.29,53,2014
"Columbia",0.19,42,-0.02,28,2014
"Crawford",-0.05,31,0.15,42,2014
"Cumberland",-1.35,4,-1.02,4,2014
"Dauphin",0.35,52,0.11,37,2014
"Delaware",0.15,41,-0.3,14,2014
"Elk",0.99,62,0.01,32,2014
"Erie",0.3,50,0.14,39,2014
"Fayette",1.78,65,0.95,66,2014
"Forest",1.8,66,0.82,65,2014
"Franklin",-0.53,15,0.02,33,2014
"Fulton",-0.15,27,0.34,56,2014
"Greene",1.69,64,0.61,63,2014
"Huntingdon",-0.2,25,0.19,45,2014
"Indiana",-0.04,32,-0.07,23,2014
"Jefferson",0.92,61,0.37,57,2014
"Juniata",-0.99,7,-0.22,19,2014
"Lackawanna",0.54,56,-0.02,29,2014
"Lancaster",-0.92,9,-0.52,8,2014
"Lawrence",0.71,58,0.18,44,2014
"Lebanon",-0.61,12,-0.42,10,2014
"Lehigh",-0.43,19,-0.1,20,2014
"Luzerne",0.57,57,0.38,58,2014
"Lycoming",-0.39,20,-0.03,24,2014
"McKean",0.24,47,0.28,51,2014
"Mercer",0.28,48,0.11,38,2014
"Mifflin",0.12,39,0.19,46,2014
"Monroe",-0.09,30,0.25,48,2014
"Montgomery",-1.23,5,-1.23,2,2014
"Montour",-0.13,28,-0.76,7,2014
"Northampton",-0.33,21,-0.36,12,2014
"Northumberland",0.01,35,0.26,50,2014
"Perry",0.21,44,-0.03,25,2014
"Philadelphia",2.56,67,1.59,67,2014
"Pike",-0.86,11,-0.02,26,2014
"Potter",0.77,59,0.29,52,2014
"Schuylkill",0.38,53,0.39,59,2014
"Snyder",-1.13,6,-0.26,16,2014
"Somerset",0.04,38,0.24,47,2014
"Sullivan",1.57,63,0.31,54,2014
"Susquehanna",0.49,55,0.42,60,2014
"Tioga",-0.58,14,-0.02,27,2014
"Union",-1.55,1,-0.5,9,2014
"Venango",0.22,45,0.26,49,2014
"Warren",0.24,46,0.17,43,2014
"Washington",0.03,37,-0.23,18,2014
"Wayne",-0.12,29,-0.08,22,2014
"Westmoreland",-0.25,23,-0.33,13,2014
"Wyoming",0.47,54,0.42,61,2014
"York",-0.44,18,-0.24,17,2014
"Adams",-0.46,17,-0.29,15,2015
"Allegheny",-0.02,34,-0.22,19,2015
"Armstrong",0.07,36,0.24,48,2015
"Beaver",0.15,43,0.12,40,2015
"Bedford",-0.59,13,0.21,44,2015
"Berks",-0.36,20,0.01,30,2015
"Blair",0.21,48,0.07,37,2015
"Bradford",-0.59,14,0.11,39,2015
"Bucks",-0.63,12,-0.86,6,2015
"Butler",-0.8,9,-0.69,7,2015
"Cambria",0.84,60,0.23,46,2015
"Cameron",-0.53,15,0.68,64,2015
"Carbon",0.52,57,0.57,62,2015
"Centre",-1.41,2,-1,2,2015
"Chester",-1.21,4,-1,3,2015
"Clarion",-0.24,24,0.04,34,2015
"Clearfield",-0.08,29,0.01,29,2015
"Clinton",-0.06,32,0.2,43,2015
"Columbia",0.07,38,0.02,33,2015
"Crawford",0.15,44,-0.06,26,2015
"Cumberland",-1.13,5,-0.99,4,2015
"Dauphin",0.17,45,0.01,32,2015
"Delaware",0.08,39,-0.29,16,2015
"Elk",1.09,62,-0.09,25,2015
"Erie",0.29,51,0.18,42,2015
"Fayette",1.46,64,0.9,65,2015
"Forest",1.55,65,0.97,66,2015
"Franklin",-0.42,18,-0.19,21,2015
"Fulton",0.07,37,0.33,56,2015
"Greene",1.3,63,0.59,63,2015
"Huntingdon",-0.09,28,0.23,47,2015
"Indiana",0.08,40,0.05,36,2015
"Jefferson",0.4,54,0.3,53,2015
"Juniata",-1.22,3,-0.33,13,2015
"Lackawanna",0.43,56,0.15,41,2015
"Lancaster",-0.85,8,-0.53,9,2015
"Lawrence",0.89,61,0.27,50,2015
"Lebanon",-0.65,11,-0.46,10,2015
"Lehigh",-0.33,21,0.04,35,2015
"Luzerne",0.61,58,0.42,60,2015
"Lycoming",-0.25,23,-0.14,22,2015
"McKean",0.2,47,0.38,59,2015
"Mercer",0.09,41,0.1,38,2015
"Mifflin",0.11,42,-0.05,28,2015
"Monroe",-0.19,26,0.33,57,2015
"Montgomery",-1.03,6,-1.06,1,2015
"Montour",-0.32,22,-0.94,5,2015
"Northampton",-0.16,27,-0.34,12,2015
"Northumberland",0.26,49,0.25,49,2015
"Perry",0.28,50,-0.22,18,2015
"Philadelphia",1.99,67,1.44,67,2015
"Pike",-0.74,10,-0.1,24,2015
"Potter",-0.01,35,0.31,54,2015
"Schuylkill",0.4,55,0.33,55,2015
"Snyder",-0.93,7,-0.35,11,2015
"Somerset",0.19,46,0.29,52,2015
"Sullivan",1.58,66,0.28,51,2015
"Susquehanna",0.66,59,0.45,61,2015
"Tioga",-0.49,16,-0.05,27,2015
"Union",-1.71,1,-0.54,8,2015
"Venango",0.35,52,0.22,45,2015
"Warren",-0.08,30,0.01,31,2015
"Washington",-0.02,33,-0.2,20,2015
"Wayne",-0.08,31,-0.11,23,2015
"Westmoreland",-0.21,25,-0.31,14,2015
"Wyoming",0.4,53,0.34,58,2015
"York",-0.39,19,-0.26,17,2015
"Adams",-0.86,8,-0.36,14,2016
"Allegheny",-0.12,26,-0.14,21,2016
"Armstrong",0.28,49,0.24,45,2016
"Beaver",0.15,39,0.19,42,2016
"Bedford",-0.28,22,0.29,54,2016
"Berks",-0.15,25,0.02,27,2016
"Blair",0.23,46,0.08,30,2016
"Bradford",-0.26,23,0.15,38,2016
"Bucks",-1.05,6,-0.94,3,2016
"Butler",-0.94,7,-0.7,8,2016
"Cambria",0.91,63,0.31,57,2016
"Cameron",-0.55,11,0.09,34,2016
"Carbon",0.59,58,0.35,62,2016
"Centre",-1.52,4,-0.84,5,2016
"Chester",-1.86,1,-1.11,2,2016
"Clarion",0.33,50,0.1,36,2016
"Clearfield",0.2,44,0.24,46,2016
"Clinton",0.05,36,0.34,61,2016
"Columbia",0.11,37,0.09,33,2016
"Crawford",0.43,54,0.09,35,2016
"Cumberland",-1.42,5,-0.9,4,2016
"Dauphin",0.33,51,0,26,2016
"Delaware",0.03,35,-0.32,15,2016
"Elk",-0.02,33,-0.37,13,2016
"Erie",0.23,45,0.3,56,2016
"Fayette",1.67,66,1.07,66,2016
"Forest",0.16,40,0.92,65,2016
"Franklin",-0.52,13,-0.21,19,2016
"Fulton",-0.03,31,0.25,48,2016
"Greene",0.63,59,0.46,64,2016
"Huntingdon",-0.08,27,0.21,43,2016
"Indiana",0.19,42,0.3,55,2016
"Jefferson",0.47,56,0.27,51,2016
"Juniata",-0.54,12,-0.14,22,2016
"Lackawanna",0.72,60,0.04,28,2016
"Lancaster",-0.85,9,-0.62,9,2016
"Lawrence",0.85,62,0.26,50,2016
"Lebanon",-0.41,16,-0.45,10,2016
"Lehigh",-0.06,28,-0.08,24,2016
"Luzerne",0.97,64,0.28,53,2016
"Lycoming",-0.33,19,0.07,29,2016
"McKean",0.34,52,0.24,47,2016
"Mercer",0.26,47,0.32,60,2016
"Mifflin",0.44,55,0.32,59,2016
"Monroe",0.26,48,0.23,44,2016
"Montgomery",-1.59,3,-1.2,1,2016
"Montour",-0.4,17,-0.73,6,2016
"Northampton",-0.38,18,-0.39,12,2016
"Northumberland",0.56,57,0.28,52,2016
"Perry",-0.03,32,-0.12,23,2016
"Philadelphia",3.01,67,1.61,67,2016
"Pike",-0.49,14,-0.22,18,2016
"Potter",-0.05,29,0.36,63,2016
"Schuylkill",0.76,61,0.26,49,2016
"Snyder",-0.56,10,-0.4,11,2016
"Somerset",0.13,38,0.31,58,2016
"Sullivan",1.58,65,0.14,37,2016
"Susquehanna",0.42,53,0.18,40,2016
"Tioga",-0.04,30,0.08,31,2016
"Union",-1.74,2,-0.71,7,2016
"Venango",0.17,41,0.19,41,2016
"Warren",-0.02,34,-0.16,20,2016
"Washington",-0.3,21,-0.06,25,2016
"Wayne",-0.16,24,0.09,32,2016
"Westmoreland",-0.32,20,-0.28,17,2016
"Wyoming",0.19,43,0.15,39,2016
"York",-0.47,15,-0.3,16,2016
"Adams",-0.96,9,-0.43,10,2017
"Allegheny",-0.05,29,-0.19,20,2017
"Armstrong",0.43,50,0.3,59,2017
"Beaver",0.11,38,0.27,55,2017
"Bedford",-0.24,21,0.09,34,2017
"Berks",-0.16,24,0.05,33,2017
"Blair",0.34,47,0.15,39,2017
"Bradford",0.26,43,0.29,57,2017
"Bucks",-1.09,6,-0.98,2,2017
"Butler",-1.05,7,-0.73,5,2017
"Cambria",0.93,63,0.17,43,2017
"Cameron",-1.01,8,0.03,32,2017
"Carbon",0.5,54,0.27,56,2017
"Centre",-1.64,2,-0.66,7,2017
"Chester",-1.77,1,-0.95,3,2017
"Clarion",0.61,58,0.12,36,2017
"Clearfield",-0.02,31,0.25,49,2017
"Clinton",-0.03,30,0.26,53,2017
